,shot,time,time_until_disrupt,ip,Wmhd,n_e,kappa,li
262,1150805012,0.5799999833106995,0.7161000370979309,-501077.78125,29685.642578125,1.9226323902184345e+20,1.71308517456055,1.1937255859375
263,1150805015,0.5799999833106995,1.142899990081787,-499043.390625,33964.71484375,1.96521311991465e+20,1.67335915565491,1.14115059375763
264,1150805016,0.5799999833106995,1.110300064086914,-499669.671875,32670.1328125,1.9514188312204837e+20,1.68304300308228,1.13848805427551
265,1150805017,0.5799999833106995,1.0901000499725342,-497796.953125,33765.76171875,1.994240202997016e+20,1.67779517173767,1.12793135643005
266,1150805019,0.5799999833106995,1.0376999378204346,-490594.6875,15616.5791015625,1.4700801724346548e+20,1.66130983829498,1.23630571365356
267,1150805020,0.5799999833106995,1.1721000671386719,-498579.8125,31755.2578125,2.0374886696938822e+20,1.67015254497528,1.15846860408783
268,1150805021,0.5799999833106995,1.064500093460083,-500294.921875,34662.46875,2.0719589959658924e+20,1.67286479473114,1.15879821777344
269,1150805022,0.5799999833106995,0.6269000172615051,-480571.0625,13689.3515625,1.4890402803934387e+20,1.65475142002106,1.27823770046234
270,1150805013,0.5999999642372131,,-499515.140625,33913.5078125,1.9364329133957094e+20,1.66197967529297,1.16784036159515
271,1150805014,0.5999999642372131,,-490591.609375,21530.890625,1.4527784606177549e+20,1.63832151889801,1.28356885910034
272,1150805012,0.6000000238418579,0.6960999965667725,-497319.031864937,25492.15625,1.8509266775146018e+20,1.72116935253143,1.19451439380646
273,1150805015,0.6000000238418579,1.1229000091552734,-497785.780858676,35264.203125,2.1199023863605962e+20,1.67064106464386,1.15214109420776
274,1150805017,0.6000000238418579,1.070099949836731,-498575.90487105,36384.41015625,2.1444608391031606e+20,1.67519056797028,1.1311366558075
275,1150805016,0.6000000238418579,1.0902999639511108,-498730.343973614,34629.8125,2.111397987925857e+20,1.67477679252625,1.13655507564545
276,1150805022,0.6000000238418579,0.6068999767303467,-482446.751006261,14664.6044921875,1.4817050112486752e+20,1.65123045444489,1.27044117450714
277,1150805021,0.6000000238418579,1.0444999933242798,-500765.844812165,37835.0703125,2.233776874567263e+20,1.67868411540985,1.15090727806091
278,1150805020,0.6000000238418579,1.1520999670028687,-498419.062276386,29254.125,2.2102067277164567e+20,1.68371319770813,1.14469480514526
279,1150805019,0.6000000238418579,1.017699956893921,-489492.563114937,14312.21875,1.4259168861934677e+20,1.65421307086945,1.26910734176636
280,1150805012,0.6200000047683716,0.6761000156402588,-478534.625,19252.4375,1.5593460819951154e+20,1.67758047580719,1.3004162311554
281,1150805019,0.6200000047683716,0.9976999759674072,-491837.015625,18144.908203125,1.4971023745851494e+20,1.66400277614594,1.23940300941467
282,1150805013,0.6200000047683716,,-499516.1875,36121.67578125,2.096559860821434e+20,1.66857659816742,1.17694938182831
283,1150805020,0.6200000047683716,1.132099986076355,-496064.421875,20320.72265625,1.8955050720628294e+20,1.69097280502319,1.17195570468903
284,1150805021,0.6200000047683716,1.0245000123977661,-501393.0,40211.61328125,2.3761183258811197e+20,1.67295169830322,1.16266763210297
285,1150805022,0.6200000047683716,0.586899995803833,-483383.1875,13555.4482421875,1.5312073900236443e+20,1.65346491336823,1.28413927555084
286,1150805016,0.6200000047683716,1.0702999830245972,-497947.390625,36419.91796875,2.2518329749229863e+20,1.68320667743683,1.13934087753296
287,1150805017,0.6200000047683716,1.0500999689102173,-499664.546875,37360.05859375,2.2830904288481464e+20,1.6808670759201,1.13047540187836
