shot,time,time_until_disrupt,n_e,ip,li,Wmhd,kappa
1120427032,1.559999942779541,0.12910008430480957,,-714807.625,1.6204860210418701,25523.16015625,1.6418601274490356
1050803007,1.559999942779541,,1.1712336508651307e+20,-533711.5625,1.3949973583221436,20529.708984375,1.5732483863830566
1140714027,1.559999942779541,,5.749362134608144e+19,-727396.6875,1.5566658973693848,13369.2919921875,1.396875262260437
1150804021,1.559999942779541,,9.387094220506032e+19,-844041.3125,1.53351008892059,38037.609375,1.56170058250427
1150812008,1.559999942779541,0.06050002574920654,1.5731930153382104e+20,-986509.53125,1.50001728534698,56247.88671875,1.77632033824921
1050526011,1.559999942779541,0.19710004329681396,2.4544800927904065e+20,-928798.125,1.394713044166565,56676.5,1.6003670692443848
1050729024,1.5799999237060547,,9.715496728870571e+19,-543713.5,1.5232914686203003,21230.208984375,1.272765874862671
1050302007,1.5799999237060547,,1.2487731459963591e+20,-708708.125,1.5649573802947998,27933.283203125,1.5351827144622803
1150612032,1.5799999237060547,,1.3216257428416507e+20,-654456.782088551,1.49634718894958,24120.4453125,1.56209945678711
1160706031,1.5799999237060547,,1.5510645166487214e+20,-762845.125,1.463038682937622,38996.70703125,1.4370826482772827
1050208018,1.5799999237060547,,9.665074884839368e+19,-700065.5,1.527994990348816,23368.16015625,1.4913806915283203
1150804003,1.5799999237060547,,1.2369227198646862e+20,-818897.688729875,1.48019194602966,41168.421875,1.60853147506714
1140714027,1.5799999237060547,,5.571403099020041e+19,-703975.25,1.616641879081726,12822.7216796875,1.412087321281433
1150804021,1.5799999237060547,,9.13479756353325e+19,-828135.282871199,1.56429481506348,37730.01953125,1.57008814811707
1120523017,1.5799999237060547,,1.1442714267288076e+20,-717687.0625,1.5512633323669434,27846.3203125,1.5621384382247925
1050218026,1.5799999237060547,,1.628507430678566e+20,-700711.0,1.5842747688293457,23072.736328125,1.528070330619812
1150717018,1.5799999237060547,,1.476109990592203e+20,-700833.65608229,1.66025853157043,25335.26171875,1.64728057384491
1160712013,1.5799999237060547,,1.1065995195332952e+20,-753384.25,1.5088977813720703,32600.38671875,1.4870003461837769
1050413010,1.5799999237060547,,1.3718121035426326e+20,-857495.6875,1.4605343341827393,51730.82421875,1.5930304527282715
1050810014,1.5799999237060547,,2.3360725421031162e+20,-898842.875,1.316501498222351,59118.0078125,1.5571812391281128
1150717005,1.5799999237060547,,1.2908726818791745e+20,-710126.6875,1.6693000793457,23910.8671875,1.53068709373474
1050803007,1.5799999237060547,,1.1302775464179165e+20,-514136.1875,1.4051722288131714,18937.650390625,1.550818681716919
1150723006,1.5799999237060547,,5.40841919630635e+19,-535884.75,1.70477902889252,16758.361328125,1.64141476154327
1050608012,1.5799999237060547,,2.717997493752504e+20,-860914.75,,,
1140711013,1.5799999237060547,,1.869767021935408e+20,-685339.625,1.5213167667388916,29347.50390625,1.5900325775146484
1160916001,1.5799999237060547,,1.3549994272618447e+20,687635.9375,1.9623070955276487,24689.52734375,1.468819499015808
1050701002,1.5799999237060547,,1.85736664183642e+20,-768997.4375,1.4899991750717163,35943.078125,1.5474213361740112
1051117022,1.5799999237060547,,1.3444318890658942e+20,-844775.625,1.3660719394683838,40457.6953125,1.5953853130340576
1140213021,1.5799999237060547,,1.2771640315613492e+20,757369.625,1.7554781436920166,19964.9375,1.6339409351348877
1160701030,1.5799999237060547,,1.834675712510751e+20,-765111.625,1.6157352924346924,31531.931640625,1.5698740482330322
1140212016,1.5799999237060547,,6.92344563165154e+20,754402.6875,1.6220111846923828,25197.296875,1.5903797149658203
1160420033,1.5799999237060547,,1.632516162112507e+20,-840889.0625,1.6139366626739502,28104.51953125,1.6258039474487305
1160504021,1.5799999237060547,,7.785688455574874e+19,-533955.4375,1.7659953832626345,10090.80078125,1.562652587890625
1120523020,1.5799999237060547,,1.176855321876554e+20,-716732.5,1.5393919944763184,29674.5625,1.5592221021652222
1160630025,1.5799999237060547,,2.235373285888135e+20,-845851.625,1.4686113595962524,42924.3671875,1.5021233558654783
1140619005,1.5799999237060547,,1.096466596293572e+20,599751.9375,1.1463100910186768,25156.17578125,1.1427099704742432
