shot,time,time_until_disrupt,aminor,n_e,ip,delta,li,Wmhd,kappa,label
1150805016,1.4999998807907104,0.1903001070022583,0.21961642802924253,8.875169972539574e+19,-489159.9375,0.4241493046136071,1.3344229459762573,14022.83984375,1.657871127128601,
1150805016,1.5199998617172241,0.17030012607574463,0.21915397047396468,8.405442406667867e+19,-472720.5286054827,0.4341114759805862,1.3702672719955444,13994.490234375,1.6347190141677856,
1150805016,1.5399999618530273,0.1503000259399414,0.21779693669138744,8.00026445821112e+19,-449708.109375,0.4457197186402979,1.4307425022125244,12259.3291015625,1.6258407831192017,
1150805016,1.559999942779541,0.13030004501342773,0.21797440945940805,7.751424617199937e+19,-425443.703125,0.4682729243724566,1.4804034233093262,10962.712890625,1.642240047454834,
1150805016,1.5799999237060547,0.11030006408691406,0.2177394330507294,7.852471061923358e+19,-397411.32934555755,0.47806900759115933,1.5820889472961426,9876.7705078125,1.6276187896728516,
1150805016,1.5999999046325684,0.09030008316040039,0.21731629967064503,7.886979632529646e+19,-369694.2183586762,0.5019555698522709,1.6664924621582031,10072.650390625,1.626896619796753,
1150805016,1.619999885559082,0.07030010223388672,0.21520908184144005,7.798589956985876e+19,-340260.34233462455,0.5015358924770252,1.7066797018051147,8766.35546875,1.6530952453613281,
1150805016,1.6399998664855957,0.05030012130737305,0.21267712119289683,7.352055943835574e+19,-312236.6430646603,0.5122158532810488,1.7596107721328735,8493.9208984375,1.6493440866470337,
1150805016,1.6599998474121094,0.030300140380859375,0.21207720042608624,7.17991321896136e+19,-282174.9868146603,0.5544550397498824,1.834401249885559,9043.6689453125,1.6699415445327759,
1150805016,1.6799999475479126,0.010300040245056152,0.21080343428279047,7.3233940807944454e+19,-253050.71875,0.5852105607659013,1.930067777633667,7778.69384765625,1.630007266998291,
1150805017,0.05999999865889549,1.6100999750196934,0.22352281212806702,2.1662558097764884e+19,-252775.87675842366,0.13801464438438416,1.4737142324447632,-5345.50537109375,1.051263451576233,
1150805017,0.07999999821186066,1.5900999754667282,0.2318666426462569,3.0878489402479632e+19,-281901.9840699516,0.23123275906105079,1.3196123838424683,-861.5706176757812,1.2108937501907349,
1150805017,0.09999999403953552,1.5700999796390533,0.2223214509134399,3.671882207330975e+19,-325277.14010579645,0.4890584264761202,1.4153472185134888,-658.604736328125,1.6681736707687378,
